campaign_name,start_date,end_date,channel,impressions,clicks,spend,conversions,active
Launch,2023-04-18,2023-05-07,Google_Ads,34159,522,714.23,47.0,No
BlackFriday,2023-11-21,2023-12-21,TikTok,14986,235,318.24,25.0,Yes
Launch,2023-05-09,2023-05-17,Instagram,62858,2991,5391.63,457.0,No
Winter,2023-02-17,2023-03-12,Email,13666,537,573.89,92.0,No
BlackFriday,2023-03-08,2023-03-28,Instagram,4561,79,112.8,7.0,No
Launch,2023-08-15,2023-08-23,Facebook,27854,1092,1582.97,208.0,Yes
BlackFriday,2023-01-05,2023-02-01,Facebook,65505,1064,1280.98,161.0,Yes
Summer,2023-12-20,2024-01-16,Facebook,53251,1032,1201.86,70.0,Yes
Summer,2023-07-09,2023-07-17,TikTok,23662,1148,1424.92,0.0,Yes
Launch,2023-07-06,2023-07-25,Facebook,31535,1149,1369.32,95.0,Yes
Launch,2023-01-21,2023-02-06,Facebook,79603,3912,7471.52,344.0,No
Winter,2023-05-08,2023-06-06,Email,53256,1329,1669.23,241.0,No
Launch,2023-10-14,2023-10-15,Instagram,90135,964,1854.54,61.0,Yes
BlackFriday,2023-11-14,2023-11-25,Facebook,36222,715,1250.71,112.0,Yes
Launch,2023-05-02,2023-05-19,other,78373,3388,3535.88,307.0,Yes
Winter,2023-06-20,2023-06-24,Email,97354,3966,2637.77,628.0,Yes
Launch,2023-12-09,2023-12-22,Instagram,85651,1244,2348.14,63.0,No
Winter,2023-05-17,2023-06-11,Instagram,64335,2690,3893.68,0.0,Yes
BlackFriday,2023-07-15,2023-07-20,TikTok,11965,559,325.11,39.0,No
BlackFriday,2023-04-24,2023-05-14,Facebook,25538,868,1272.82,156.0,No
Launch,2023-06-29,2023-07-10,Google_Ads,71592,3410,6688.28,616.0,No
Launch,2023-04-27,2023-04-30,Google_Ads,99018,4265,2579.05,480.0,No
BlackFriday,2023-07-24,2023-08-10,Facebook,9110,334,444.9,38.0,Yes
Summer,2023-05-23,2023-06-08,Facebook,80309,2657,4308.83,253.0,Yes
Launch,2023-12-14,2023-12-29,Google_Ads,28266,676,1159.6,0.0,Yes
Winter,2023-01-15,2023-02-04,Google_Ads,53992,883,989.61,91.0,Yes
Summer,2023-04-02,2023-05-01,Google_Ads,83948,2870,2313.94,258.0,Yes
Summer,2023-01-20,2023-02-18,Facebook,99806,2268,1278.05,260.0,Yes
Launch,2023-06-10,2023-07-04,Instagram,7910,353,483.47,22.0,No
Winter,2023-03-01,2023-03-10,Instagram,91982,4574,5394.42,0.0,No
BlackFriday,2023-10-03,2023-10-16,Facebook,88897,1915,2926.3,148.0,No
Summer,2023-12-10,2024-01-04,Google_Ads,24419,350,188.11,29.0,No
Summer,2023-12-07,2023-12-14,Facebook,51636,1859,1407.54,270.0,Yes
Launch,2023-12-06,2024-01-01,Google_Ads,51015,2071,2444.54,0.0,No
BlackFriday,2023-06-03,2023-06-28,Facebook,55268,2599,3072.82,433.0,Yes
Launch,2023-06-17,2023-06-26,Instagram,88939,2448,3741.89,205.0,Yes
BlackFriday,2023-03-07,2023-03-30,Facebook,19141,881,1643.35,67.0,Yes
Summer,2023-07-14,2023-07-19,other,81356,3670,5352.87,660.0,Yes
Launch,2023-11-12,2023-11-24,Google_Ads,72910,1654,3192.72,192.0,Yes
BlackFriday,2023-01-01,2023-01-29,Email,57044,2553,4652.65,180.0,Yes
Winter,2023-10-24,2023-11-18,TikTok,68214,1707,2350.11,306.0,Yes
Launch,2023-08-15,2023-08-17,TikTok,34827,761,1332.27,131.0,No
Launch,2023-08-31,2023-09-16,Facebook,56820,2043,2990.68,403.0,Yes
Launch,2023-03-28,2023-04-05,Facebook,63623,1471,908.84,274.0,Yes
Winter,2023-05-01,2023-05-22,Email,76450,2629,1688.77,0.0,Yes
BlackFriday,2023-09-01,2023-09-12,Google_Ads,23299,587,912.17,79.0,Yes
Winter,2023-08-22,2023-09-03,Facebook,44585,1424,854.1,184.0,No
Winter,2023-04-10,2023-05-07,Google_Ads,65044,2202,1863.31,261.0,No
BlackFriday,2023-07-24,2023-08-13,other,43557,1386,2596.68,151.0,Yes
Launch,2023-01-03,2023-01-19,Google_Ads,50080,1391,1981.44,159.0,Yes
Summer,2023-02-24,2023-03-14,Instagram,3693,39,33.91,0.0,No
Summer,2023-05-08,2023-06-03,Google_Ads,96259,1611,2247.61,143.0,Yes
Winter,2023-03-10,2023-03-19,Facebook,70163,2505,3137.17,0.0,Yes
Launch,2023-10-14,2023-10-25,Google_Ads,26939,1087,2135.17,172.0,Yes
Launch,2023-08-15,2023-08-31,TikTok,49925,1498,2284.72,114.0,Yes
BlackFriday,2023-09-16,2023-09-27,other,43941,1392,1479.92,183.0,Yes
Winter,2023-08-17,2023-09-06,Facebook,22834,1097,1865.02,172.0,No
BlackFriday,2023-09-01,2023-09-30,Email,19047,835,1525.44,97.0,Yes
Summer,2023-11-23,2023-12-11,TikTok,27105,1262,868.04,68.0,Yes
BlackFriday,2023-09-06,2023-09-13,Email,76766,3266,2615.51,383.0,Yes
Launch,2023-02-09,2023-03-08,TikTok,16707,239,197.02,22.0,No
Launch,2023-06-21,2023-07-17,TikTok,22976,366,562.48,0.0,No
BlackFriday,2023-03-12,2023-04-02,Facebook,45262,1406,1974.81,96.0,No
Summer,2023-07-28,2023-08-27,Facebook,31080,903,1725.78,52.0,No
Launch,2023-02-01,2023-02-21,Instagram,67842,1748,2908.44,0.0,Yes
Launch,2023-06-30,2023-07-10,Email,93787,3622,4176.49,428.0,No
Launch,2023-08-03,2023-08-27,Facebook,56016,1728,1890.33,128.0,No
Summer,2023-11-05,2023-11-07,Instagram,10474,449,675.28,42.0,Yes
Summer,2023-06-22,2023-07-21,Email,22959,1053,1009.91,100.0,Yes
Summer,2023-03-26,2023-04-02,Instagram,6530,83,110.21,15.0,Yes
Summer,2023-11-15,2023-12-02,Facebook,95856,4618,7777.24,0.0,Yes
Launch,2023-11-26,2023-12-13,Instagram,98504,2482,1866.9,138.0,Yes
Launch,2023-07-14,2023-07-22,Facebook,14545,424,247.12,69.0,Yes
Winter,2023-06-22,2023-07-18,Email,67199,1194,2284.81,107.0,Yes
BlackFriday,2023-01-16,2023-02-13,Google_Ads,96839,4569,3422.33,0.0,No
Launch,2023-08-31,2023-09-10,Email,55384,1840,944.03,173.0,Yes
Summer,2023-04-22,2023-05-01,Facebook,52005,706,517.75,63.0,No
Summer,2023-07-08,2023-07-15,Instagram,47576,1841,1492.88,211.0,No
Summer,2023-02-28,2023-03-05,Instagram,40353,1049,1516.72,209.0,Yes
BlackFriday,2023-06-09,2023-06-10,Instagram,84211,3614,1918.24,236.0,No
Launch,2023-07-12,2023-07-13,Facebook,53733,1660,2888.28,228.0,Yes
Launch,2023-02-08,2023-03-01,other,66318,990,1037.91,122.0,No
Launch,2023-05-05,2023-05-26,Instagram,90474,4014,4136.61,516.0,Yes
Launch,2023-12-17,2024-01-11,TikTok,24664,1035,987.1,155.0,Yes
Launch,2023-10-17,2023-10-31,Facebook,68172,1185,2326.23,0.0,No
Winter,2023-11-28,2023-12-10,Email,94264,3934,7267.5,453.0,Yes
Winter,2023-09-08,2023-09-23,TikTok,27736,482,802.63,33.0,Yes
Winter,2023-11-22,2023-12-17,TikTok,95209,4447,2733.66,717.0,Yes
Launch,2023-03-20,2023-04-19,Instagram,1854,50,99.0,7.0,No
Winter,2023-11-30,2023-12-05,Google_Ads,91084,1227,1112.95,119.0,Yes
Summer,2023-10-31,2023-11-21,Instagram,8392,209,364.49,17.0,Yes
Launch,2023-02-14,2023-02-27,Facebook,56680,1760,2745.62,205.0,No
Summer,2023-06-16,2023-07-06,Google_Ads,51859,1842,2243.08,0.0,Yes
Launch,2023-05-13,2023-05-28,other,27309,835,1395.15,144.0,Yes
Winter,2023-12-26,2024-01-20,Instagram,88455,2984,2851.02,583.0,Yes
Winter,2023-07-28,2023-08-01,Email,71467,2563,1293.58,323.0,No
Launch,2023-12-20,2024-01-19,Email,53662,911,693.6,123.0,Yes
Summer,2023-04-24,2023-05-09,Instagram,13688,632,734.78,112.0,Yes
Summer,2023-12-06,2023-12-15,other,26342,1074,2122.6,81.0,Yes
Summer,2023-09-29,2023-10-06,Instagram,38157,1231,1346.17,142.0,Yes
Summer,2023-10-09,2023-11-01,TikTok,68863,1392,2189.31,166.0,No
Winter,2023-05-19,2023-06-08,Instagram,53083,1172,1081.61,197.0,Yes
BlackFriday,2023-04-09,2023-04-24,Facebook,66733,2621,2740.82,0.0,No
Summer,2023-12-20,2023-12-30,other,90045,3966,3117.63,587.0,Yes
Launch,2023-09-05,2023-09-11,other,35698,1315,1342.08,262.0,No
Winter,2023-09-26,2023-10-15,other,81623,3459,4568.84,211.0,No
Summer,2023-04-10,2023-04-15,TikTok,23671,962,1912.13,80.0,Yes
Summer,2023-01-28,2023-02-01,Facebook,43107,694,393.8,36.0,No
Launch,2023-03-06,2023-03-08,Facebook,87202,1692,1166.69,107.0,Yes
BlackFriday,2023-02-22,2023-03-22,Instagram,52663,2357,3167.41,358.0,Yes
Winter,2023-08-29,2023-09-09,Email,16708,483,795.86,87.0,Yes
BlackFriday,2023-01-27,2023-02-14,TikTok,92906,2918,5575.21,0.0,No
Winter,2023-02-28,2023-03-16,Google_Ads,50811,870,455.65,0.0,Yes
Summer,2023-02-07,2023-02-19,Facebook,3811,85,109.15,7.0,Yes
BlackFriday,2023-03-19,2023-03-24,Facebook,57250,1099,1325.72,181.0,No
BlackFriday,2023-05-08,2023-06-04,TikTok,35754,1269,1699.66,175.0,No
Winter,2023-11-07,2023-12-01,Facebook,96742,1961,3001.43,160.0,No
Summer,2023-09-25,2023-10-08,TikTok,12411,437,649.87,28.0,Yes
Winter,2023-06-02,2023-06-20,TikTok,3911,48,32.42,2.0,Yes
Summer,2023-02-20,2023-03-13,TikTok,84763,1778,1217.66,308.0,Yes
BlackFriday,2023-01-02,2023-01-13,Instagram,84879,2351,2987.59,0.0,No
Launch,2023-08-29,2023-09-11,Facebook,72295,2012,3732.15,386.0,Yes
Summer,2023-12-28,2024-01-03,Facebook,89614,3493,6409.05,318.0,No
BlackFriday,2023-02-06,2023-02-17,Facebook,12111,128,221.03,0.0,Yes
Launch,2023-11-17,2023-12-07,TikTok,38504,910,1151.35,172.0,Yes
Launch,2023-04-12,2023-05-09,Google_Ads,2802,119,190.92,11.0,Yes
BlackFriday,2023-11-28,2023-12-23,Google_Ads,9155,312,396.04,58.0,No
Launch,2023-03-26,2023-04-16,Email,40384,1866,2060.37,278.0,Yes
BlackFriday,2023-10-19,2023-10-29,Instagram,48254,1973,3857.91,340.0,No
Winter,2023-08-28,2023-09-08,Email,22918,472,896.08,76.0,Yes
Launch,2023-05-20,2023-06-08,Instagram,86981,3114,5021.03,482.0,Yes
Launch,2023-02-11,2023-03-08,TikTok,61713,2087,1918.21,200.0,Yes
Launch,2023-04-28,2023-04-30,Instagram,17646,435,775.19,44.0,Yes
BlackFriday,2023-12-11,2023-12-28,Email,97601,3385,6030.01,221.0,Yes
Launch,2023-03-31,2023-04-02,Email,91735,2540,3139.81,131.0,Yes
Summer,2023-05-23,2023-06-16,TikTok,17371,751,833.49,53.0,Yes
Launch,2023-11-22,2023-12-15,Facebook,78371,2882,5345.49,453.0,No
BlackFriday,2023-08-29,2023-09-21,Email,3049,39,54.83,7.0,Yes
Winter,2023-07-30,2023-08-15,Facebook,21932,457,611.53,56.0,Yes
Launch,2023-07-25,2023-07-28,Instagram,30855,1040,1099.02,0.0,No
Summer,2023-05-10,2023-05-13,other,73694,1417,1245.82,177.0,Yes
BlackFriday,2023-07-26,2023-07-31,Instagram,44016,1244,2373.98,0.0,Yes
Winter,2023-01-01,2023-01-06,Instagram,8400,147,270.62,10.0,Yes
BlackFriday,2023-09-23,2023-10-10,Google_Ads,16151,406,647.24,41.0,No
Launch,2023-05-17,2023-06-09,Email,67690,3372,3393.83,0.0,No
Winter,2023-08-13,2023-08-21,TikTok,5499,153,303.37,15.0,Yes
Launch,2023-01-15,2023-01-18,Instagram,7295,170,91.44,14.0,Yes
Winter,2023-05-03,2023-05-28,TikTok,60040,1994,1752.66,288.0,No
Summer,2023-02-28,2023-03-12,Facebook,30299,1468,1883.34,232.0,Yes
Launch,2023-03-20,2023-03-31,Facebook,13874,491,679.25,62.0,No
BlackFriday,2023-09-18,2023-09-21,Google_Ads,33711,1354,2203.65,190.0,Yes
Winter,2023-09-05,2023-09-19,other,6539,109,156.44,15.0,No
Launch,2023-10-10,2023-10-21,Google_Ads,54351,1433,2006.8,184.0,Yes
Summer,2023-11-03,2023-11-28,Email,62267,1675,971.96,230.0,Yes
Launch,2023-02-05,2023-02-08,Instagram,49354,2115,2252.04,322.0,Yes
Summer,2023-08-01,2023-08-17,Facebook,3557,35,29.68,5.0,Yes
Launch,2023-06-02,2023-06-20,Facebook,83018,4088,5443.2,737.0,No
Summer,2023-12-04,2023-12-06,Google_Ads,3200,92,73.53,7.0,Yes
Summer,2023-10-03,2023-10-20,Facebook,69497,1758,1654.14,193.0,Yes
Launch,2023-10-06,2023-10-20,TikTok,47975,709,606.64,136.0,No
Winter,2023-04-07,2023-04-28,Google_Ads,22357,1094,2103.49,119.0,Yes
Summer,2023-07-16,2023-08-11,Email,78505,847,1623.7,58.0,Yes
BlackFriday,2023-01-23,2023-02-05,Email,3869,152,215.07,19.0,Yes
Summer,2023-07-15,2023-08-07,Instagram,62135,2531,4775.45,168.0,Yes
Summer,2023-11-30,2023-12-05,Google_Ads,51108,1009,1693.83,81.0,No
BlackFriday,2023-01-19,2023-02-06,Facebook,95179,3508,4858.31,700.0,No
BlackFriday,2023-06-19,2023-07-16,Email,91272,1251,637.58,164.0,No
Summer,2023-03-15,2023-03-22,Google_Ads,92412,4120,5862.27,803.0,Yes
Launch,2023-05-16,2023-05-22,Facebook,4987,150,190.41,13.0,No
Summer,2023-06-18,2023-07-13,Email,23399,293,557.51,46.0,Yes
Summer,2023-07-14,2023-08-13,other,47214,694,738.21,106.0,Yes
BlackFriday,2023-02-05,2023-02-14,TikTok,71271,1686,2046.01,258.0,Yes
Winter,2023-05-28,2023-06-05,Facebook,45064,1137,1718.69,105.0,Yes
Summer,2023-08-11,2023-08-19,other,71091,1695,2787.16,261.0,No
BlackFriday,2023-12-27,2023-12-29,TikTok,41818,818,464.77,78.0,No
Summer,2023-06-16,2023-07-08,Facebook,20830,895,751.9,127.0,No
Summer,2023-07-11,2023-07-29,Google_Ads,18429,390,586.97,24.0,No
Summer,2023-07-30,2023-07-31,Instagram,7893,376,452.14,47.0,No
BlackFriday,2023-03-29,2023-03-31,Instagram,80909,3635,6035.3,368.0,No
BlackFriday,2023-07-15,2023-08-05,Facebook,48333,796,545.34,79.0,Yes
Winter,2023-10-26,2023-11-22,Email,4436,183,263.43,25.0,No
Summer,2023-05-11,2023-06-03,TikTok,75290,2483,2278.66,244.0,Yes
BlackFriday,2023-08-27,2023-09-04,TikTok,77213,2522,4487.83,419.0,Yes
Summer,2023-06-26,2023-06-28,Facebook,20738,623,1242.63,92.0,Yes
Launch,2023-08-06,2023-08-08,Instagram,31746,821,1390.78,140.0,Yes
BlackFriday,2023-06-04,2023-06-12,Email,50377,1591,2594.29,240.0,Yes
Launch,2023-09-05,2023-09-30,TikTok,49404,1734,1427.52,216.0,Yes
Summer,2023-07-03,2023-07-11,Google_Ads,55045,2035,2043.16,391.0,No
Winter,2023-12-18,2023-12-23,Email,6600,103,192.86,11.0,Yes
Summer,2023-05-27,2023-06-07,Google_Ads,94179,4026,7583.18,777.0,No
Summer,2023-06-30,2023-07-11,Google_Ads,41764,956,1475.53,77.0,Yes
Launch,2023-05-09,2023-05-22,Facebook,75543,824,1166.91,138.0,Yes
Winter,2023-12-04,2023-12-29,Google_Ads,46714,754,603.02,125.0,No
Summer,2023-02-19,2023-03-12,Instagram,57835,1095,638.7,90.0,Yes
Winter,2023-06-01,2023-06-02,Instagram,19589,926,755.78,113.0,Yes
Winter,2023-04-13,2023-04-30,Instagram,44484,1468,1959.32,76.0,No
BlackFriday,2023-07-07,2023-08-01,Facebook,83989,2450,4372.61,461.0,No
Launch,2023-03-26,2023-04-05,Google_Ads,37212,839,1470.43,164.0,No
Launch,2023-09-04,2023-09-20,TikTok,44525,1525,2883.82,127.0,Yes
Summer,2023-06-23,2023-06-24,Instagram,48202,750,786.62,60.0,Yes
Launch,2023-02-08,2023-03-02,Facebook,33635,1544,1508.6,0.0,Yes
BlackFriday,2023-12-13,2024-01-05,Google_Ads,64208,2772,4502.11,0.0,No
Winter,2023-10-13,2023-11-05,TikTok,34828,790,905.87,0.0,No
Summer,2023-01-08,2023-01-22,Instagram,19711,948,598.49,129.0,Yes
Winter,2023-07-08,2023-07-26,Facebook,4420,190,175.6,19.0,Yes
Launch,2023-10-27,2023-10-30,TikTok,97752,3582,4040.04,626.0,Yes
BlackFriday,2023-07-10,2023-07-12,Instagram,1301,19,17.84,2.0,No
Launch,2023-01-13,2023-01-20,Google_Ads,46236,1346,1343.72,251.0,Yes
BlackFriday,2023-06-17,2023-07-06,Email,67235,2033,1912.37,384.0,No
Summer,2023-02-02,2023-02-04,Google_Ads,55240,1066,599.36,79.0,Yes
BlackFriday,2023-12-25,2024-01-01,Google_Ads,66726,880,1280.97,44.0,Yes
Launch,2023-01-20,2023-02-08,Email,7102,105,155.41,19.0,Yes
BlackFriday,2023-02-19,2023-03-07,Email,51336,1733,1366.41,101.0,Yes
Launch,2023-07-18,2023-07-19,other,86314,4096,3864.5,716.0,No
BlackFriday,2023-12-23,2024-01-04,Facebook,27641,1245,1779.63,147.0,Yes
Summer,2023-03-21,2023-04-13,Facebook,35584,751,1050.98,66.0,No
Launch,2023-09-08,2023-09-11,Email,33745,1486,1871.61,270.0,Yes
Launch,2023-07-09,2023-08-07,Instagram,67105,718,1342.23,137.0,Yes
Launch,2023-12-18,2024-01-04,other,37631,925,1094.67,0.0,Yes
Summer,2023-11-27,2023-12-26,Email,73991,1883,2856.83,157.0,No
Summer,2023-04-08,2023-05-05,other,5014,163,214.27,21.0,Yes
Summer,2023-04-19,2023-05-02,TikTok,19070,352,406.02,27.0,Yes
Summer,2023-06-20,2023-06-25,TikTok,57958,2328,2135.23,280.0,Yes
Winter,2023-10-17,2023-11-04,Google_Ads,83074,2889,2060.96,175.0,No
Launch,2023-10-11,2023-10-12,Email,11729,256,248.25,44.0,Yes
Summer,2023-04-30,2023-05-30,Google_Ads,46017,1252,2221.43,125.0,Yes
Winter,2023-03-16,2023-04-09,Google_Ads,28751,373,741.35,47.0,Yes
Winter,2023-03-31,2023-04-20,Google_Ads,79069,3266,4283.37,414.0,No
BlackFriday,2023-08-04,2023-08-16,TikTok,50689,1760,1404.02,0.0,No
Winter,2023-09-01,2023-09-18,Google_Ads,51993,1836,1372.09,323.0,Yes
Summer,2023-10-31,2023-11-13,TikTok,30592,586,503.95,77.0,Yes
Launch,2023-12-04,2023-12-31,Email,9716,182,165.52,0.0,Yes
Launch,2023-09-03,2023-09-28,other,88545,3207,3762.35,0.0,Yes
Summer,2023-02-25,2023-03-17,Email,90912,3992,7464.44,418.0,Yes
BlackFriday,2023-02-07,2023-02-16,Facebook,71316,2779,2178.99,234.0,No
BlackFriday,2023-05-21,2023-05-28,Facebook,78575,2058,1214.52,119.0,No
Summer,2023-12-31,2024-01-11,Google_Ads,7655,276,512.57,14.0,Yes
Winter,2023-09-29,2023-10-28,Email,71031,1716,2524.71,112.0,Yes
Summer,2023-12-26,2024-01-08,Instagram,92083,2694,2063.03,308.0,Yes
Winter,2023-10-10,2023-10-14,TikTok,88922,1518,1429.05,0.0,No
Winter,2023-08-20,2023-09-10,TikTok,56766,1446,971.99,102.0,No
Summer,2023-08-21,2023-08-31,Google_Ads,14403,699,1336.7,79.0,Yes
BlackFriday,2023-06-10,2023-06-25,Google_Ads,33097,660,1106.36,66.0,Yes
Launch,2023-07-11,2023-07-12,TikTok,79657,1222,1458.56,94.0,Yes
Launch,2023-02-19,2023-03-12,TikTok,53921,1794,2826.77,274.0,Yes
BlackFriday,2023-03-08,2023-03-30,Google_Ads,50726,1888,3368.57,158.0,No
BlackFriday,2023-10-15,2023-11-01,TikTok,51300,902,933.71,62.0,No
Summer,2023-07-30,2023-08-24,Instagram,23677,822,1344.95,0.0,Yes
Summer,2023-08-05,2023-08-18,Google_Ads,56609,1298,1223.51,118.0,Yes
